name,art_nr,country,volume,alc_vol,price
Bunan,Nr 55502,Frankrike,750 ml,14 % vol.,277:-
Bunan,Nr 55503,Frankrike,750 ml,"13,5 % vol.",232:-
Moulin des Costes,Nr 59808,Frankrike,750 ml,13 % vol.,244:-
Cuvée Felice,Nr 56078,Frankrike,750 ml,13 % vol.,217:-
Terreno,Nr 56172,Italien,750 ml,"12,5 % vol.",121:-
Gramona,Nr 56307,Spanien,750 ml,11 % vol.,179:-
Gérard Bertrand,Nr 56385,Frankrike,750 ml,"14,5 % vol.",1 849:-
Ze Rozé,Nr 51059,Frankrike,750 ml,"12,5 % vol.",199:-
Born Rosé Barcelona,Nr 56791,Spanien,750 ml,12 % vol.,157:-
Agneta Patrulls,Nr 56866,Italien,750 ml,"12,5 % vol.",89:-
Notre Dames des Anges,Nr 56947,Frankrike,750 ml,"12,5 % vol.",179:-
St Antony,Nr 57161,Tyskland,750 ml,"11,5 % vol.",149:-
Ciú Ciú,Nr 71313,Italien,750 ml,"13,5 % vol.",99:-
Ribas,Nr 79361,Spanien,750 ml,"13,5 % vol.",197:-
Farmers Market,Nr 74272,Italien,750 ml,"13,5 % vol.",79:-
Can Sumoi,Nr 71466,Spanien,750 ml,"11,5 % vol.",189:-
Primavera,Nr 70914,Italien,750 ml,"13,5 % vol.",158:-
Lohas Viñedos,Nr 75116,Spanien,750 ml,"11,5 % vol.",89:-
Château les Valentines,Nr 70019,Frankrike,750 ml,"13,5 % vol.",235:-
Cuvée des Vignettes,Nr 74253,Frankrike,1 500 ml,"13,5 % vol.",899:-
Cuvée des Vignettes,Nr 74457,Frankrike,750 ml,"13,5 % vol.",425:-
Allegro,Nr 73395,Italien,750 ml,"12,5 % vol.",91:-
Le Tende,Nr 75028,Italien,750 ml,"13,5 % vol.",190:-
Château Gassier,Nr 73752,Frankrike,750 ml,13 % vol.,199:-
Protocolo,Nr 72901,Spanien,750 ml,"12,5 % vol.",99:-
Pittnauer,Nr 76829,Österrike,750 ml,"12,5 % vol.",185:-
Rosalie,Nr 78406,Tyskland,750 ml,11 % vol.,109:-
Coteaux d'Aix en Provence,Nr 2237,Frankrike,750 ml,"12,5 % vol.",149:-
Plaisir De Vigne,Nr 74013,Frankrike,750 ml,"12,5 % vol.",85:-
Château de Brau Cabardès,Nr 76103,Frankrike,750 ml,13 % vol.,247:-
Rosagreen,Nr 73911,Italien,750 ml,"12,5 % vol.",183:-
Paul Mas,Nr 55743,Frankrike,750 ml,"12,5 % vol.",99:-
CHILL OUT,Nr 56383,Frankrike,1 000 ml,12 % vol.,89:-
Jacob's Creek Crisp,Nr 2181,Australien,750 ml,12 % vol.,82:-
CHILL OUT,Nr 56383,Frankrike,1 000 ml,12 % vol.,89:-
Guigal,Nr 50612,Frankrike,750 ml,"14,5 % vol.",139:-
Pink Punk,Nr 92988,Serbien,750 ml,14 % vol.,158:-
Tavel Rosé,Nr 55720,Frankrike,750 ml,14 % vol.,185:-
It's a Zin!,Nr 50415,Italien,750 ml,13 % vol.,129:-
Minuty,Nr 79353,Frankrike,1 500 ml,"12,5 % vol.",419:-
Minuty,Nr 72115,Frankrike,750 ml,13 % vol.,179:-
Piemonte Rosato,Nr 78493,Italien,750 ml,12 % vol.,169:-
Enzo Bartoli,Nr 77940,Italien,1 500 ml,12 % vol.,269:-
Langhe Rosato,Nr 72448,Italien,750 ml,"12,5 % vol.",139:-
Puy Cheri,Nr 54715,Frankrike,1 500 ml,"12,5 % vol.",169:-
Goo-Goo Wine,Nr 55221,Italien,750 ml,11 % vol.,179:-
Love You Bunches,Nr 57606,USA,750 ml,"11,5 % vol.",229:-
Marius Peyol,Nr 56492,Frankrike,750 ml,13 % vol.,129:-
Tavel,Nr 70166,Frankrike,750 ml,"14,5 % vol.",175:-
M de Minuty,Nr 2590,Frankrike,1 500 ml,13 % vol.,389:-
Muscat Rose,Nr 52651,Ukraina,750 ml,10 % vol.,119:-
Mariedam,Nr 51635,USA,750 ml,"12,5 % vol.",279:-
Blossom Hill,Nr 79568,USA,750 ml,"10,5 % vol.",70:-
Leif Mannerström,Nr 50411,Frankrike,750 ml,"12,5 % vol.",99:-
Etna,Nr 50926,Italien,750 ml,"12,5 % vol.",219:-
Zenato,Nr 51398,Italien,750 ml,"12,5 % vol.",119:-
Domaine de Nizas,Nr 51519,Frankrike,750 ml,"12,5 % vol.",129:-
MiP Classic Rosé,Nr 51560,Frankrike,750 ml,"12,5 % vol.",189:-
Whispering Angel,Nr 51703,Frankrike,750 ml,13 % vol.,219:-
Château de Parenchère,Nr 52586,Frankrike,750 ml,"12,5 % vol.",119:-
Lidköping,Nr 52607,Frankrike,750 ml,"12,5 % vol.",119:-
Cadia,Nr 78731,Italien,750 ml,12 % vol.,99:-
Chateau Minuty,Nr 73593,Frankrike,750 ml,"12,5 % vol.",529:-
By.Ott,Nr 90306,Frankrike,1 500 ml,13 % vol.,449:-
Sea Rosé,Nr 55963,Portugal,1 000 ml,11 % vol.,69:-
Les Fumées Blanches,Nr 56047,Frankrike,750 ml,12 % vol.,129:-
Rabiega,Nr 56597,Frankrike,750 ml,"12,5 % vol.",140:-
Leif Mannerström,Nr 50411,Frankrike,750 ml,"12,5 % vol.",99:-
Etna,Nr 50926,Italien,750 ml,"12,5 % vol.",219:-
Zenato,Nr 51398,Italien,750 ml,"12,5 % vol.",119:-
Domaine de Nizas,Nr 51519,Frankrike,750 ml,"12,5 % vol.",129:-
MiP Classic Rosé,Nr 51560,Frankrike,750 ml,"12,5 % vol.",189:-
Cotes de Provence,Nr 56737,Frankrike,750 ml,13 % vol.,199:-
Sandhäxan,Nr 57173,Portugal,750 ml,"12,5 % vol.",140:-
Matiara,Nr 57198,Italien,750 ml,14 % vol.,149:-
Vale da Vida,Nr 57249,Portugal,750 ml,12 % vol.,99:-
Cavalchina,Nr 79360,Italien,750 ml,"12,5 % vol.",195:-
Peplo Rosé,Nr 70720,Grekland,750 ml,13 % vol.,239:-
Chateau des hauts de Fontaneau,Nr 4669,Frankrike,750 ml,"11,5 % vol.",69:-
Chateau Minuty,Nr 73593,Frankrike,750 ml,"12,5 % vol.",529:-
Abdyika,Nr 77649,Bulgarien,750 ml,"12,5 % vol.",125:-
Blossom Hill,Nr 79568,USA,750 ml,"10,5 % vol.",70:-
Viberti,Nr 54714,Italien,750 ml,"12,5 % vol.",159:-
Baracchi,Nr 71509,Italien,750 ml,"12,5 % vol.",294:-
Marqués de Cáceres,Nr 2755,Spanien,375 ml,"13,5 % vol.",59:-
