name,art_nr,country,volume,alc_vol,price
Perlat,Nr 58017,Spanien,750 ml,"14,5 % vol.",184:-
DeLoach Vineyards,Nr 58036,USA,750 ml,"13,5 % vol.",179:-
Merlot Trocken,Nr 58056,Tyskland,750 ml,"14,5 % vol.",188:-
Quinta do Pinto Red Estate Collection,Nr 58074,Portugal,750 ml,"14,5 % vol.",179:-
Esencias by Éxzito,Nr 58093,Spanien,750 ml,"14,5 % vol.",189:-
Domaine des Tourelles,Nr 79397,Libanon,750 ml,14 % vol.,175:-
Rasola,Nr 70307,Italien,750 ml,13 % vol.,179:-
Morgon,Nr 79184,Frankrike,750 ml,13 % vol.,189:-
Dandelion Vineyards,Nr 74564,Australien,750 ml,14 % vol.,189:-
È Rosso,Nr 72031,Italien,1 000 ml,"13,5 % vol.",183:-
Syrocco,Nr 71231,Marocko,750 ml,"13,5 % vol.",179:-
Domaine Trilles,Nr 79232,Frankrike,750 ml,"13,5 % vol.",188:-
Vranac,Nr 78203,Montenegro,750 ml,14 % vol.,180:-
Viña Rufina,Nr 73776,Spanien,750 ml,15 % vol.,178:-
Stockholms Studentsångare,Nr 78271,Italien,750 ml,15 % vol.,179:-
Tre Rocche,Nr 75201,Italien,750 ml,14 % vol.,183:-
Castelmondo,Nr 73186,Italien,1 500 ml,"13,5 % vol.",189:-
Vordy Minervois,Nr 72880,Frankrike,750 ml,14 % vol.,178:-
Thulon,Nr 72062,Frankrike,750 ml,13 % vol.,187:-
Nebbiolo,Nr 78879,Italien,750 ml,13 % vol.,175:-
Apostata,Nr 75651,Spanien,750 ml,"14,5 % vol.",179:-
Bruna Grimaldi,Nr 79667,Italien,750 ml,14 % vol.,185:-
Casina Valle Asinari,Nr 73719,Italien,750 ml,15 % vol.,189:-
Schwarz,Nr 78436,Österrike,750 ml,"13,5 % vol.",179:-
Chianti Classico,Nr 76907,Italien,750 ml,"13,5 % vol.",183:-
Domaine Piquemal,Nr 75525,Frankrike,750 ml,"14,5 % vol.",185:-
Domaine du Bon Remède,Nr 77567,Frankrike,750 ml,"14,5 % vol.",179:-
Chianti Rufina,Nr 81747,Italien,750 ml,"13,5 % vol.",175:-
Predicat,Nr 86652,Spanien,750 ml,14 % vol.,189:-
Chateau Grange Cochard,Nr 54532,Frankrike,750 ml,"13,5 % vol.",185:-
Macanita,Nr 54549,Portugal,750 ml,"13,5 % vol.",189:-
Trianon,Nr 54650,Serbien,750 ml,"15,5 % vol.",182:-
Tri Morave Red,Nr 54687,Serbien,750 ml,"14,5 % vol.",186:-
Fabula Mala,Nr 54712,Serbien,750 ml,15 % vol.,189:-
Dolina,Nr 54914,Serbien,750 ml,15 % vol.,178:-
Chateau de Buffavent,Nr 54970,Frankrike,750 ml,"13,5 % vol.",179:-
Peique,Nr 54967,Spanien,750 ml,14 % vol.,179:-
Equinox,Nr 55067,Moldavien,750 ml,"14,5 % vol.",186:-
Azelia,Nr 55356,Italien,750 ml,"13,5 % vol.",189:-
DFR,Nr 55768,Rumänien,750 ml,14 % vol.,171:-
Celler de Sanui,Nr 55836,Spanien,750 ml,13 % vol.,179:-
Minuty Prestige,Nr 55897,Frankrike,750 ml,"13,5 % vol.",189:-
Saperavi,Nr 79250,Australien,750 ml,"13,5 % vol.",189:-
Chianti Classico,Nr 56042,Italien,750 ml,"13,5 % vol.",189:-
Montefalco,Nr 56050,Italien,750 ml,14 % vol.,188:-
La Source,Nr 56093,Italien,750 ml,13 % vol.,186:-
Mingorra,Nr 56213,Portugal,750 ml,14 % vol.,187:-
Finca Feliz,Nr 56333,Argentina,750 ml,13 % vol.,179:-
Finca Feliz,Nr 56331,Argentina,750 ml,13 % vol.,179:-
Ontanon,Nr 56496,Spanien,750 ml,14 % vol.,179:-
Kaiken Indómito,Nr 56585,Argentina,750 ml,"14,5 % vol.",179:-
Kaiken,Nr 56587,Argentina,750 ml,"14,5 % vol.",179:-
Tahbilk,Nr 86369,Australien,750 ml,"13,5 % vol.",175:-
Gloria,Nr 50122,Spanien,750 ml,15 % vol.,184:-
Le Roc de Chateau Puybarbe,Nr 50123,Frankrike,750 ml,15 % vol.,189:-
Roncolato,Nr 50282,Italien,750 ml,"14,5 % vol.",187:-
Duc de Foix,Nr 50693,Spanien,750 ml,13 % vol.,183:-
Frattasi Aglianico,Nr 50721,Italien,750 ml,"12,5 % vol.",175:-
