snapdate,name,art_nr,country,volume,alc_vol,price,type
2023-09-08,Crémant Rosé De Chanceny,7552,France,750.0,12.5,149,Mousserande
2023-09-08,Törley,7713,Hungary,200.0,11,29,Mousserande
2023-09-08,Högberga,39526,Sweden,330.0,13.5,69,Mousserande
2023-09-08,Vouvray Vigneau Sélection Brut,91295,France,750.0,13,149,Mousserande
2023-09-08,Saint Clair Dawn Méthode Traditionelle,95519,New Zealand,750.0,11.5,198,Mousserande
2023-09-08,Pet Nat Miao,92621,Chile,750.0,13,179,Mousserande
2023-09-08,Sidewood,90443,Australia,750.0,12,189,Mousserande
2023-09-08,Uivo Pt Nat,94813,Portugal,750.0,11.5,179,Mousserande
2023-09-08,Crémant du Jura,90529,France,750.0,12.5,188,Mousserande
2023-09-08,Von Buhl,97050,Germany,750.0,12.5,198,Mousserande
2023-09-08,Tr3 Apor,54458,Spain,750.0,7,79,Mousserande
2023-09-08,Crazy Cat,53812,Spain,750.0,11.5,89,Mousserande
2023-09-08,Cava PH Style,59452,Spain,750.0,11.5,99,Mousserande
2023-09-08,Unity,55340,Italy,750.0,11,129,Mousserande
2023-09-08,¡H! Barcelona Sparkling,50901,Spain,750.0,11.5,79,Mousserande
2023-09-08,Happy Dog,59093,Spain,750.0,11.5,99,Mousserande
2023-09-08,Alvaroni,50699,Spain,750.0,12,79,Mousserande
2023-09-08,Cuvée Celeste,59786,France,750.0,11,79,Mousserande
2023-09-08,Julià & Navinès,56008,Spain,750.0,11.5,99,Mousserande
2023-09-08,Café de Paris,59638,France,750.0,11.5,89,Mousserande
2023-09-08,P.Lex,51164,Italy,750.0,11,119,Mousserande
2023-09-08,Pata Negra,53268,Spain,750.0,11.5,79,Mousserande
2023-09-08,La Vecchia Via,53271,Italy,750.0,11.5,109,Mousserande
2023-09-08,FiorAmore,59404,Italy,750.0,11,109,Mousserande
2023-09-08,Je m'appelle Belle,59613,France,750.0,12.5,100,Mousserande
2023-09-08,Ca' Montini,77377,Italy,750.0,11,119,Mousserande
2023-09-08,Boschendal,7889,South Africa,750.0,13,139,Mousserande
2023-09-08,Karl Fredrik,51003,Italy,750.0,11.5,120,Mousserande
2023-09-08,Le Bubblé,54894,Sweden,750.0,7,69,Mousserande
2023-09-08,Freixenet Prosecco,77774,Italy,750.0,11,119,Mousserande
2023-09-08,Amore Bianca,77739,Italy,750.0,11,119,Mousserande
2023-09-08,Castillo Perelada,50670,Spain,375.0,11.5,79,Mousserande
2023-09-08,Agneta Patrulls,53330,Portugal,750.0,12,99,Mousserande
2023-09-08,Mulderbosch Sparkling,7591,South Africa,750.0,13,109,Mousserande
2023-09-08,Karl Fredrik,55437,Spain,750.0,11.5,129,Mousserande
2023-09-08,Jacob's Creek,75855,Australia,750.0,8.5,99,Mousserande
2023-09-08,Haut-Mouleyre,54041,France,750.0,11.5,99,Mousserande
2023-09-08,Gloria Prosecco,77541,Italy,750.0,11.5,99,Mousserande
2023-09-08,Berberana,55014,Spain,750.0,11,79,Mousserande
2023-09-08,Marqués de Monistrol,7710,Spain,750.0,11.5,75,Mousserande
2023-09-08,Pierre Olivier Blanc de Blanc,51680,France,375.0,11,59,Mousserande
2023-09-08,Skumpa,7951,Italy,750.0,7,69,Mousserande
2023-09-08,Codorníu Ecológica,7927,Spain,750.0,11.5,109,Mousserande
2023-09-08,Törley,7319,Hungary,750.0,11.5,74,Mousserande
2023-09-08,Rotari,77152,Italy,750.0,12.5,159,Mousserande
2023-09-08,Visby Cava,55049,Spain,750.0,11.5,129,Mousserande
2023-09-08,Batllori,58454,Spain,750.0,11.5,199,Mousserande
2023-09-08,Bouchard Aîné & Fils,57601,France,750.0,12,119,Mousserande
2023-09-08,Scurone,56255,Italy,750.0,11.5,199,Mousserande
2023-09-08,Pazzione Cava,77860,Spain,200.0,11.5,45,Mousserande
2023-09-08,Pata Negra,78440,Spain,750.0,11.5,79,Mousserande
2023-09-08,Casalforte,77843,Italy,750.0,11,92,Mousserande
2023-09-08,Bolla,79587,Italy,750.0,11,99,Mousserande
2023-09-08,Crudo,77042,Italy,750.0,11.5,119,Mousserande
2023-09-08,Crémant d'Alsace,7520,France,750.0,12,179,Mousserande
2023-09-08,Freixenet,7738,Spain,750.0,11.5,119,Mousserande
2023-09-08,Peter & Paul,55598,Austria,750.0,11,199,Mousserande
2023-09-08,Col Tamarie,59317,Italy,750.0,11.5,198,Mousserande
2023-09-08,Batllori,58452,Spain,750.0,11.5,169,Mousserande
2023-09-08,Grebbestad Cava,54626,Spain,750.0,11.5,189,Mousserande
2023-09-08,Fleur de Vignoble,51030,France,750.0,11.5,120,Mousserande
2023-09-08,Integrale,57467,Italy,750.0,10.5,135,Mousserande
2023-09-08,Integrale,57457,Italy,750.0,10.5,135,Mousserande
2023-09-08,Albert de Conti,57635,France,750.0,11.5,179,Mousserande
2023-09-08,Murviedro,55207,Spain,750.0,11.5,119,Mousserande
2023-09-08,Fernand Engel,56461,France,750.0,12.5,189,Mousserande
2023-09-08,Bolet,54364,Spain,750.0,11.5,165,Mousserande
2023-09-08,Chic Chanté,53078,France,750.0,11,89,Mousserande
2023-09-08,Art,53214,Spain,750.0,11.5,139,Mousserande
2023-09-08,Dignitat,70287,Spain,750.0,11.5,119,Mousserande
2023-09-08,Dignitat Cava,77276,Spain,750.0,11.5,119,Mousserande
2023-09-08,Castellblanc,77740,Spain,750.0,11.5,119,Mousserande
2023-09-08,Copenhagen,70849,Denmark,750.0,5,194,Mousserande
2023-09-08,Torelló Pàl-Lid,77834,Spain,750.0,12,199,Mousserande
2023-09-08,El Miracle,7700,Spain,750.0,11.5,99,Mousserande
2023-09-08,Le Contesse,77025,Italy,750.0,11,129,Mousserande
2023-09-08,Gardo & Morris,7928,New Zealand,750.0,12.5,135,Mousserande
2023-09-08,Lateyron,54985,France,750.0,11.5,198,Mousserande
2023-09-08,Bottega,53318,Italy,750.0,11,179,Mousserande
2023-09-08,Masia,52367,Spain,750.0,11.5,129,Mousserande
2023-09-08,Frökens Bubbel,55519,Italy,750.0,7,79,Mousserande
2023-09-08,Privat Brut Nature Rosé,56509,Spain,750.0,11.5,179,Mousserande
2023-09-08,Vita Vivet,50154,Spain,750.0,11,169,Mousserande
2023-09-08,Aranleon Solo,51684,Spain,750.0,11.5,159,Mousserande
2023-09-08,Strehn,52565,Austria,750.0,12.5,159,Mousserande
2023-09-08,Cerro Blanco,52611,Spain,750.0,11.5,99,Mousserande
2023-09-08,San Michele,52849,Italy,750.0,11,133,Mousserande
2023-09-08,Bellissima,52970,Italy,750.0,11.5,129,Mousserande
2023-09-08,Bellissima,52971,Italy,750.0,11.5,129,Mousserande
2023-09-08,Batllori,58460,Spain,750.0,11.5,199,Mousserande
2023-09-08,La Gioiosa,59980,Italy,750.0,11,149,Mousserande
2023-09-08,Gérard Bertrand,58438,France,750.0,12,179,Mousserande
2023-09-08,Cornelia Tessari,57673,Italy,750.0,11,199,Mousserande
2023-09-08,Vilarnau,76437,Spain,750.0,12,122,Mousserande
2023-09-08,Snou Cava,75447,Spain,750.0,12.5,149,Mousserande
2023-09-08,Garcia de Verdevique,74838,Spain,750.0,11.5,147,Mousserande
2023-09-08,Snou Cava,84155,Spain,750.0,12,167,Mousserande
2023-09-08,Maria Casanovas,55075,Spain,750.0,11.5,188,Mousserande
2023-09-08,Maria Casanovas,55183,Spain,750.0,11.5,145,Mousserande
2023-09-08,Motzenbäcker,55257,Germany,750.0,13.5,199,Mousserande
2023-09-08,Fasoli Gino,55926,Italy,750.0,11.5,129,Mousserande
2023-09-08,Motzenbäcker,56004,Germany,750.0,13,199,Mousserande
2023-09-08,Snabba Cash,56183,Spain,750.0,11.5,89,Mousserande
2023-09-08,Raventos i Blanc,56372,Spain,750.0,12,199,Mousserande
2023-09-08,Christoph Hoch,56521,Austria,750.0,10.5,198,Mousserande
2023-09-08,Pere Ventura,56534,Spain,750.0,11.5,133,Mousserande
2023-09-08,Vilarnau,50567,Spain,750.0,11.5,149,Mousserande
2023-09-08,Cava Roy,50632,Spain,750.0,12,150,Mousserande
2023-09-08,unsweet,51113,Spain,750.0,11.5,115,Mousserande
2023-09-08,Same Same Cava Brut Nature,51220,Spain,750.0,11.5,129,Mousserande
2023-09-08,Carattere,51247,Italy,750.0,11.5,169,Mousserande
2023-09-08,Ö,56831,Spain,750.0,11.5,99,Mousserande
2023-09-08,Anderssons,57100,Spain,750.0,11.5,139,Mousserande
