id,name,country,volume,alcohol_volume,price,type
Nr 7948,Champagne de Saint-Gall,France,750.0,12.5,431,Mousserande
Nr 90291,Raventós i Blanc,Spain,750.0,11.5,599,Mousserande
Nr 7957,Jansz,Australia,750.0,12,201,Mousserande
Nr 93341,Le Naturel Vouvray,France,750.0,13.5,189,Mousserande
Nr 94813,Uivo Pt Nat,Portugal,750.0,11.5,179,Mousserande
Nr 7405,Gosset,France,750.0,12,501,Mousserande
Nr 90403,AUS,Spain,750.0,11.5,169,Mousserande
Nr 33346,Arilds Vingård Bubbel,Sweden,750.0,12.5,199,Mousserande
Nr 91112,Pop Up,USA,750.0,12.5,179,Mousserande
Nr 7495,Lanson,France,375.0,12.5,270,Mousserande
Nr 88285,Pol Roger,France,750.0,12.5,761,Mousserande
Nr 51680,Pierre Olivier Blanc de Blanc,France,375.0,11,55,Mousserande
Nr 93721,Lambrusco di Sorbara,Italy,750.0,11,129,Mousserande
Nr 95036,Robert Barbichon,France,750.0,12,396,Mousserande
Nr 93329,Krug,France,750.0,12.5,3249,Mousserande
Nr 93450,Aphros Phaunus,Portugal,750.0,11,229,Mousserande
Nr 93405,Alpamanta,Argentina,750.0,11.5,189,Mousserande
Nr 93863,Integro,Italy,750.0,12,149,Mousserande
Nr 92370,Orpale,France,750.0,12.5,701,Mousserande
Nr 90444,Hambledon,UK,750.0,12,599,Mousserande
Nr 92576,Demeter Zoltán,Hungary,750.0,13,249,Mousserande
Nr 90115,Costadilà,Italy,750.0,10.5,199,Mousserande
Nr 94473,Jansz Vintage Cuvée,Australia,750.0,12,329,Mousserande
Nr 37488,Flädie Vingård och Vinproduktion,Sweden,750.0,12.5,331,Mousserande
Nr 37490,Flädie Vingård och Vinproduktion,Sweden,1500.0,12.5,656,Mousserande
Nr 94844,Mas del Serral,Spain,750.0,12.5,1201,Mousserande
Nr 7591,Mulderbosch Sparkling,South Africa,750.0,13.5,81,Mousserande
Nr 37441,Ebba,Sweden,750.0,12.5,320,Mousserande
Nr 37702,Skepparps,Sweden,750.0,12.5,350,Mousserande
Nr 38619,Skepparps Grand Prix,Sweden,750.0,12,299,Mousserande
Nr 95393,Fleur de Miraval Rosé,France,750.0,12.5,3290,Mousserande
Nr 38561,Gute Vingård,Sweden,750.0,12,350,Mousserande
Nr 93400,Turó d'en Mota,Spain,750.0,11.5,1101,Mousserande
Nr 94747,Domaine de la Taille aux Loups,France,750.0,13,219,Mousserande
Nr 90044,Nyetimber,UK,750.0,12,619,Mousserande
Nr 94444,Delamotte,France,750.0,12,699,Mousserande
Nr 93745,Hervé Dubois Blanc de Blancs,France,750.0,12,349,Mousserande
Nr 93115,Comtes de Champagne,France,750.0,12.5,2497,Mousserande
Nr 94110,Sugrue,UK,750.0,12,499,Mousserande
Nr 36936,Sånana Sparkling,Sweden,750.0,11.5,446,Mousserande
Nr 38216,Jesper Friberg,Sweden,750.0,10,280,Mousserande
Nr 93523,Champagne Vincey,France,750.0,12.5,749,Mousserande
Nr 90323,Pommery,France,750.0,12.5,1399,Mousserande
Nr 7713,Törley,Hungary,200.0,11,30,Mousserande
Nr 93345,Vincent Joudart,France,750.0,12,496,Mousserande
Nr 93740,Skepparps,Sweden,750.0,12.5,299,Mousserande
Nr 90468,Laurent-Perrier,France,750.0,12,1801,Mousserande
Nr 33740,Skepparps Crossover,EU,750.0,12,201,Mousserande
Nr 94339,Clos Henri,New Zealand,750.0,13,289,Mousserande
Nr 36141,Bedstekilde,Sweden,750.0,11.5,265,Mousserande
Nr 91146,Pertois-Moriset,France,1500.0,12.5,1296,Mousserande
Nr 93953,Moscato d'Asti,Italy,750.0,5.5,181,Mousserande
Nr 92365,Castelmondo,Italy,750.0,11,99,Mousserande
Nr 94676,Nyetimber Tillington,UK,750.0,12,1099,Mousserande
Nr 95097,Louis Roederer,France,750.0,12,897,Mousserande
Nr 90511,Tatié Rosé,Chile,750.0,12,199,Mousserande
Nr 93273,Rings,Germany,750.0,11.5,299,Mousserande
Nr 93596,Philipponnat,France,750.0,12.5,449,Mousserande
Nr 35477,Mellby Mousserande,Sweden,750.0,11,334,Mousserande
Nr 94221,Alta Langa,Italy,750.0,12,399,Mousserande
Nr 94890,Ca’ del Bosco,Italy,750.0,13,1001,Mousserande
Nr 93918,Bollinger,France,750.0,12.5,949,Mousserande
Nr 90443,Sidewood,Australia,750.0,12,189,Mousserande
Nr 36147,Bedstekilde,Sweden,750.0,11.5,229,Mousserande
Nr 93637,Arione,Italy,750.0,12.5,229,Mousserande
Nr 90146,Joseph Loriot-Pagel,France,750.0,12.5,596,Mousserande
Nr 92672,Nyetimber 1086,UK,750.0,12,1999,Mousserande
Nr 90569,Laurent-Perrier,France,1500.0,12,3902,Mousserande
Nr 96024,Henriot,France,1500.0,12,4503,Mousserande
Nr 36215,Arilds Vingård,Sweden,750.0,10.5,198,Mousserande
Nr 94136,Josep Coca,Spain,750.0,12.5,248,Mousserande
